Temperature,Humidity,LDR,Soil,Water,Air,Pump,Fan,Light
32.10,53.50,2680,4095,0,778,0,1,0
32.20,53.40,2592,4095,0,796,0,1,0
32.20,53.40,2495,4095,0,797,0,1,0
32.20,53.40,2526,4095,0,795,0,1,0
32.20,53.40,2671,4095,0,793,0,1,0
32.10,53.40,2703,4095,0,801,0,1,0
32.10,53.40,2629,1475,693,793,0,1,0
32.10,53.40,2529,1822,1057,790,0,1,0
32.20,53.40,2450,2109,1249,791,0,1,0
32.20,53.40,2579,2162,1296,790,0,1,0
32.20,53.40,2689,2173,1324,791,0,1,0
32.20,53.40,2729,2176,1335,787,0,1,0
32.20,53.40,2643,2175,1342,784,0,1,0
32.20,53.40,2559,2171,1352,789,0,1,0
32.20,53.30,2496,2166,1360,786,0,1,0
32.20,53.30,2448,2167,1362,781,0,1,0
32.20,53.30,2545,2182,1369,784,0,1,0
32.20,53.40,2651,2160,1371,784,0,1,0
32.20,53.40,2727,2160,1375,783,0,1,0
32.20,53.30,2667,2159,1374,733,0,1,0
32.20,53.30,2608,2159,1378,784,0,1,0
32.20,53.30,2518,3133,1985,781,1,1,0
32.20,53.30,2422,4095,1595,795,1,1,0
32.20,53.30,2459,4095,1465,791,0,1,0
32.20,53.30,2544,4095,1339,779,0,1,0
32.30,53.30,2629,4095,1315,773,0,1,0
32.20,53.30,2675,4095,1309,775,0,1,0
32.20,53.30,2673,4095,1296,771,0,1,0
32.20,53.20,2624,4095,1291,774,0,1,0
32.30,53.30,2593,4095,1285,775,0,1,0
32.20,53.30,2551,4095,1293,771,0,1,0
32.30,53.30,2531,4095,1319,772,0,1,0
32.30,53.20,2530,4095,1319,772,0,1,0
32.20,53.20,2517,2481,1313,769,0,1,0
32.30,53.20,2525,2550,1386,770,0,1,0
32.30,53.20,2544,1991,1046,768,0,1,0
32.30,53.20,2559,2299,1275,769,0,1,0
32.30,53.20,2606,2324,1281,775,0,1,0
32.30,53.20,2634,2215,1310,767,0,1,0
32.30,53.20,2661,2225,1295,766,0,1,0
32.30,53.20,2697,4095,2067,768,1,1,0
32.30,53.20,2739,4095,1642,784,1,1,0
32.30,53.10,2738,2554,1413,784,0,1,0
32.30,53.20,2699,4095,1475,761,0,1,0
32.30,53.20,2672,4095,1186,759,0,1,0
32.30,53.10,2617,4095,1176,761,0,1,0
32.30,53.10,2659,4095,1090,763,0,1,0
32.30,53.10,2656,4095,1069,757,0,1,0
32.30,53.10,2663,4095,991,762,0,1,0
32.30,53.10,757,4095,991,761,0,1,1
32.30,53.10,592,4095,1007,784,0,1,1
32.30,53.10,658,4095,1019,775,0,1,1
32.30,53.10,2694,4095,1084,777,0,1,0
32.30,53.10,2636,4095,574,752,0,1,0
32.30,53.10,2695,1749,1038,753,0,1,0
32.30,53.10,2705,2208,1328,755,0,1,0
